ts,cpu_total,cpu_max_core,ram_used_gb,cpu_server_pct,cpu_client_pct,gpu0_util,gpu0_memutil,gpu0_mem_mib,gpu0_power_w
1785126308.497,2.1,100.0,71.79,0.0,0.0,0,0,0,33.14
1785126309.497,8.5,100.0,71.85,24.0,0.0,0,0,0,33.18
1785126310.497,9.4,100.0,71.90,14.0,0.0,0,0,0,33.23
1785126311.497,7.6,68.7,71.95,12.0,0.0,0,0,0,33.19
1785126312.497,6.6,100.0,71.97,20.0,0.0,0,0,0,33.18
1785126313.497,6.8,100.0,71.97,31.0,0.0,0,0,0,33.14
1785126314.498,7.7,100.0,72.01,49.0,0.0,0,0,0,33.14
1785126315.498,8.3,100.0,72.03,177.0,0.0,0,0,0,33.18
1785126316.498,6.8,100.0,72.05,26.0,0.0,0,0,0,33.17
1785126317.498,6.6,100.0,72.06,32.0,0.0,0,0,0,33.13
1785126318.498,10.1,100.0,72.07,31.1,0.0,0,0,0,33.13
1785126319.498,6.6,100.0,72.08,18.0,0.0,0,0,0,33.14
1785126320.498,6.5,100.0,72.11,25.9,0.0,0,0,0,33.15
1785126321.498,7.2,100.0,72.11,12.0,0.0,0,0,0,33.18
1785126322.498,7.5,100.0,72.14,19.0,0.0,0,0,0,33.12
1785126323.498,8.2,100.0,71.23,16.0,0.0,0,0,0,33.08
1785126324.498,8.0,100.0,70.99,30.1,0.0,0,0,0,33.14
1785126325.498,7.3,100.0,71.00,61.0,0.0,0,0,0,33.14
1785126326.499,6.6,100.0,71.28,32.8,0.0,0,0,0,33.10
1785126327.499,6.7,100.0,71.46,36.0,0.0,0,0,0,33.15
1785126328.499,7.0,100.0,71.64,25.0,0.0,0,0,0,33.15
1785126329.499,6.5,100.0,71.93,39.0,0.0,0,0,0,33.10
1785126330.499,6.2,100.0,72.12,25.0,0.0,0,0,0,33.15
1785126331.499,5.7,100.0,72.14,34.0,0.0,0,0,0,33.15
1785126332.499,6.6,100.0,72.16,37.0,0.0,0,0,0,33.15
1785126333.499,5.7,100.0,72.18,34.0,0.0,0,0,0,33.15
1785126334.499,5.3,100.0,72.35,13.0,0.0,0,0,0,33.15
1785126335.500,5.6,100.0,72.37,35.0,0.0,0,0,0,33.15
1785126336.500,6.3,100.0,72.37,48.0,0.0,0,0,0,33.10
1785126337.500,5.7,100.0,72.38,38.0,0.0,0,0,0,33.19
1785126338.500,6.4,100.0,72.40,53.0,0.0,0,0,0,33.24
1785126339.500,5.5,100.0,72.40,27.0,0.0,0,0,0,33.15
1785126340.500,6.8,100.0,72.36,20.0,0.0,0,0,0,33.10
1785126341.500,5.4,100.0,72.33,15.0,0.0,0,0,0,33.10
1785126342.500,5.6,100.0,72.33,22.0,0.0,0,0,0,33.19
1785126343.500,5.6,100.0,72.34,45.0,0.0,0,0,0,33.24
1785126344.500,6.8,100.0,72.33,47.0,0.0,0,0,0,33.18
1785126345.501,5.7,100.0,72.31,25.0,0.0,0,0,0,33.13
1785126346.501,5.4,100.0,72.31,31.0,0.0,0,0,0,33.14
1785126347.501,5.7,100.0,72.30,41.0,0.0,0,0,0,33.18
1785126348.501,6.4,100.0,72.28,23.0,0.0,0,0,0,33.24
1785126349.501,5.4,100.0,72.28,41.0,0.0,0,0,0,33.24
1785126350.501,5.6,100.0,72.26,28.0,0.0,0,0,0,33.19
1785126351.501,6.5,100.0,72.26,35.0,0.0,0,0,0,33.17
1785126352.501,5.5,100.0,72.28,27.0,0.0,0,0,0,33.18
1785126353.501,6.1,100.0,72.29,27.0,0.0,0,0,0,33.20
1785126354.501,5.5,100.0,72.29,35.0,0.0,0,0,0,33.15
1785126355.502,5.7,100.0,72.31,25.0,0.0,0,0,0,33.09
1785126356.502,6.5,100.0,72.30,24.0,0.0,0,0,0,33.09
1785126357.502,5.6,100.0,72.29,23.0,0.0,0,0,0,33.14
1785126358.502,5.6,100.0,72.27,24.0,0.0,0,0,0,33.19
1785126359.502,5.5,100.0,72.26,23.0,0.0,0,0,0,33.19
1785126360.502,6.8,100.0,72.24,30.0,0.0,0,0,0,33.24
1785126361.502,8.1,100.0,72.23,21.0,0.0,0,0,0,33.19
1785126362.502,6.6,100.0,72.24,24.0,0.0,0,0,0,33.14
1785126363.502,7.8,100.0,72.24,22.0,0.0,0,0,0,33.19
1785126364.502,6.3,100.0,72.23,23.0,0.0,0,0,0,33.23
1785126365.503,6.5,100.0,72.23,21.0,0.0,0,0,0,33.24
1785126366.503,6.5,100.0,72.25,23.0,0.0,0,0,0,33.23
1785126367.503,7.1,100.0,72.25,25.0,0.0,0,0,0,33.22
1785126368.503,6.2,100.0,72.24,23.0,0.0,0,0,0,33.17
1785126369.503,8.5,100.0,72.24,23.0,0.0,0,0,0,33.18
1785126370.503,8.5,100.0,72.25,23.0,0.0,0,0,0,33.24
1785126371.503,7.9,100.0,72.26,23.0,0.0,0,0,0,33.24
1785126372.503,6.6,100.0,72.26,20.0,0.0,0,0,0,33.14
1785126373.503,6.5,100.0,72.25,19.0,0.0,0,0,0,33.23
1785126374.503,6.2,100.0,72.27,26.0,0.0,0,0,0,33.28
1785126375.503,6.3,100.0,72.26,20.0,0.0,0,0,0,33.14
1785126376.504,7.2,100.0,72.26,23.0,0.0,0,0,0,33.14
1785126377.504,6.9,100.0,72.26,27.0,0.0,0,0,0,33.13
1785126378.504,8.5,100.0,72.29,22.1,0.0,0,0,0,33.13
1785126379.504,7.6,100.0,72.30,26.0,0.0,0,0,0,33.23
1785126380.504,6.6,100.0,72.31,25.9,0.0,0,0,0,33.13
1785126381.504,6.4,100.0,72.33,33.0,0.0,0,0,0,33.14
1785126382.504,7.7,100.0,72.32,15.0,0.0,0,0,0,33.24
1785126383.504,6.5,100.0,72.32,13.1,0.0,0,0,0,33.18
1785126384.504,7.8,100.0,72.31,14.0,0.0,0,0,0,33.18
1785126385.504,7.7,100.0,72.33,16.0,0.0,0,0,0,33.19
1785126386.504,7.2,100.0,72.33,15.0,0.0,0,0,0,33.20
1785126387.505,6.6,100.0,72.33,16.0,0.0,0,0,0,33.14
1785126388.505,5.7,100.0,72.32,19.0,0.0,0,0,0,33.14
1785126389.505,5.5,100.0,72.32,18.0,0.0,0,0,0,33.19
1785126390.505,6.2,100.0,72.30,11.0,0.0,0,0,0,33.14
1785126391.505,5.6,100.0,72.31,23.0,0.0,0,0,0,33.19
1785126392.505,5.5,100.0,72.29,23.0,0.0,0,0,0,33.15
1785126393.505,5.6,100.0,72.28,21.1,0.0,0,0,0,33.05
1785126394.505,6.5,100.0,72.29,21.9,0.0,0,0,0,33.19
1785126395.505,5.4,100.0,72.28,22.0,0.0,0,0,0,33.19
1785126396.505,5.5,100.0,72.29,25.0,0.0,0,0,0,33.10
1785126397.506,5.5,100.0,72.28,26.0,0.0,0,0,0,33.05
1785126398.506,5.4,100.0,72.27,18.0,0.0,0,0,0,33.05
1785126399.506,6.3,100.0,72.27,16.0,0.0,0,0,0,33.15
1785126400.506,5.9,100.0,72.29,11.0,0.0,0,0,0,33.15
1785126401.506,5.6,100.0,72.29,19.0,0.0,0,0,0,33.10
1785126402.506,5.6,100.0,72.30,31.0,0.0,0,0,0,33.15
1785126403.506,6.4,100.0,72.30,26.0,0.0,0,0,0,33.19
1785126404.506,5.5,100.0,71.88,31.0,0.0,0,0,0,33.19
1785126405.506,5.9,100.0,71.86,32.0,0.0,0,0,0,33.19
1785126406.507,5.7,100.0,71.88,49.0,0.0,0,0,0,33.14
1785126407.507,6.3,100.0,71.87,26.9,0.0,0,0,0,33.14
1785126408.507,5.3,100.0,71.87,26.1,0.0,0,0,0,33.19
1785126409.507,5.5,100.0,71.89,43.0,0.0,0,0,0,33.20
1785126410.507,5.5,100.0,72.17,16.0,0.0,0,0,0,33.20
1785126411.507,5.3,100.0,72.27,21.0,0.0,0,0,0,33.14
1785126412.507,8.4,100.0,72.26,182.0,0.0,0,0,0,33.15
1785126413.507,5.5,100.0,72.24,33.0,0.0,0,0,0,33.15
1785126414.507,5.6,100.0,72.30,43.0,0.0,0,0,0,33.15
1785126415.507,5.9,100.0,72.29,27.0,0.0,0,0,0,33.24
1785126416.508,7.1,100.0,72.32,26.0,0.0,0,0,0,33.24
1785126417.508,5.8,100.0,72.31,32.0,0.0,0,0,0,33.19
1785126418.508,5.5,100.0,72.31,23.0,0.0,0,0,0,33.29
1785126419.508,5.5,100.0,72.30,21.0,0.0,0,0,0,33.19
1785126420.508,6.1,99.0,72.31,25.0,0.0,0,0,0,33.09
1785126421.508,6.1,100.0,72.30,26.0,0.0,0,0,0,33.19
1785126422.508,6.9,100.0,72.30,29.0,0.0,0,0,0,33.19
1785126423.508,5.8,100.0,72.30,24.0,0.0,0,0,0,33.19
1785126424.508,6.4,100.0,72.29,19.0,0.0,0,0,0,33.19
1785126425.508,5.3,100.0,72.30,14.0,0.0,0,0,0,33.19
1785126426.508,5.5,100.0,72.32,8.0,0.0,0,0,0,33.20
1785126427.509,5.3,100.0,72.30,8.0,0.0,0,0,0,33.15
1785126428.509,7.4,100.0,72.29,33.0,0.0,0,0,0,33.10
1785126429.509,8.0,100.0,72.31,24.0,0.0,0,0,0,33.18
1785126430.509,8.6,100.0,72.32,27.0,0.0,0,0,0,33.18
1785126431.509,7.0,100.0,72.30,23.0,0.0,0,0,0,33.14
1785126432.509,7.2,100.0,72.29,34.0,0.0,0,0,0,33.19
1785126433.509,6.2,100.0,72.29,30.0,0.0,0,0,0,33.13
1785126434.509,6.4,100.0,72.29,15.0,0.0,0,0,0,33.14
1785126435.509,6.2,100.0,72.28,13.0,0.0,0,0,0,33.14
1785126436.509,7.0,99.0,72.27,8.0,0.0,0,0,0,33.19
1785126437.510,6.5,100.0,72.28,10.0,0.0,0,0,0,33.19
1785126438.510,9.2,100.0,72.32,15.0,0.0,0,0,0,33.10
1785126439.510,5.6,100.0,72.30,20.0,0.0,0,0,0,33.10
1785126440.510,5.6,100.0,72.29,12.0,0.0,0,0,0,33.15
1785126441.510,5.6,100.0,72.31,10.0,0.0,0,0,0,33.16
1785126442.510,6.4,100.0,72.33,11.0,0.0,0,0,0,33.12
1785126443.510,6.0,100.0,72.32,13.0,0.0,0,0,0,33.11
1785126444.510,5.3,59.0,72.34,10.0,0.0,0,0,0,33.20
1785126445.510,7.7,100.0,72.31,11.0,0.0,0,0,0,33.25
1785126446.510,6.5,100.0,72.31,8.0,0.0,0,0,0,33.20
1785126447.511,5.9,100.0,72.33,10.0,0.0,0,0,0,33.15
1785126448.511,5.8,100.0,72.33,15.0,0.0,0,0,0,33.11
1785126449.511,5.5,100.0,72.33,26.0,0.0,0,0,0,33.20
1785126450.511,6.3,100.0,72.34,16.0,0.0,0,0,0,33.24
1785126451.511,5.3,100.0,72.34,15.0,0.0,0,0,0,33.20
1785126452.511,5.5,100.0,72.32,19.0,0.0,0,0,0,33.15
1785126453.511,5.3,100.0,72.31,20.0,0.0,0,0,0,33.21
1785126454.511,6.5,100.0,72.30,11.0,0.0,0,0,0,33.21
1785126455.511,5.7,94.9,72.30,39.0,0.0,0,0,0,33.10
1785126456.511,5.3,100.0,72.32,11.0,0.0,0,0,0,33.15
1785126457.512,5.4,100.0,72.31,14.0,0.0,0,0,0,33.26
1785126458.512,6.5,100.0,72.30,16.0,0.0,0,0,0,33.20
1785126459.512,5.2,100.0,72.29,15.0,0.0,0,0,0,33.09
1785126460.512,5.9,100.0,72.27,13.0,0.0,0,0,0,33.15
1785126461.512,5.4,100.0,72.27,17.0,0.0,0,0,0,33.15
1785126462.512,6.4,100.0,72.27,15.0,0.0,0,0,0,33.09
1785126463.512,6.3,100.0,72.28,35.0,0.0,0,0,0,33.14
1785126464.512,5.6,100.0,72.30,26.0,0.0,0,0,0,33.19
1785126465.512,5.7,100.0,72.31,32.0,0.0,0,0,0,33.24
1785126466.512,5.6,100.0,72.33,34.0,0.0,0,0,0,33.19
1785126467.512,6.7,100.0,72.30,30.0,0.0,0,0,0,33.08
1785126468.513,5.6,99.0,72.32,41.0,0.0,0,0,0,33.18
1785126469.513,5.7,100.0,72.33,48.0,0.0,0,0,0,33.24
1785126470.513,5.8,100.0,72.32,43.0,0.0,0,0,0,33.14
1785126471.513,6.4,100.0,72.32,34.0,0.0,0,0,0,33.14
1785126472.513,5.5,100.0,72.29,27.0,0.0,0,0,0,33.19
1785126473.513,7.1,100.0,72.33,152.0,0.0,0,0,0,33.29
1785126474.513,5.5,100.0,72.33,29.0,0.0,0,0,0,33.29
1785126475.513,6.3,100.0,72.35,12.0,0.0,0,0,0,33.24
