ts,cpu_total,cpu_max_core,ram_used_gb,cpu_server_pct,cpu_client_pct,gpu0_util,gpu0_memutil,gpu0_mem_mib,gpu0_power_w
1785345798.026,3.1,100.0,60.44,0.0,0.0,0,0,0,33.40
1785345799.026,20.2,100.0,60.55,24.0,0.0,0,0,0,33.45
1785345800.026,20.7,100.0,60.61,14.0,0.0,0,0,0,33.45
1785345801.027,20.0,99.0,60.71,12.0,0.0,0,0,0,33.45
1785345802.027,21.2,100.0,60.66,35.0,0.0,0,0,0,33.45
1785345803.027,19.2,100.0,60.70,38.0,0.0,0,0,0,33.40
1785345804.027,16.1,100.0,60.58,179.2,0.0,0,0,0,33.40
1785345805.027,15.9,100.0,60.71,32.8,0.0,0,0,0,33.40
1785345806.027,20.0,76.2,60.74,34.2,0.0,0,0,0,33.40
1785345807.027,20.3,100.0,60.75,20.0,0.0,0,0,0,33.40
1785345808.027,19.3,65.0,60.75,29.0,0.0,0,0,0,33.40
1785345809.027,19.7,91.0,60.77,20.0,0.0,0,0,0,33.45
1785345810.027,20.3,100.0,60.74,32.0,0.0,0,0,0,33.45
1785345811.028,20.7,100.0,60.75,19.0,0.0,0,0,0,33.40
1785345812.028,20.6,99.0,60.72,14.0,0.0,0,0,0,33.41
1785345813.028,20.6,100.0,60.73,61.0,0.0,0,0,0,33.50
1785345814.028,21.4,100.0,60.74,37.1,0.0,0,0,0,33.50
1785345815.028,19.8,100.0,60.71,35.0,0.0,0,0,0,33.50
1785345816.028,19.8,100.0,60.75,27.0,0.0,0,0,0,33.50
1785345817.028,19.8,100.0,60.76,37.0,0.0,0,0,0,33.54
1785345818.028,19.9,100.0,60.76,23.0,0.0,0,0,0,33.54
1785345819.028,13.7,99.0,60.60,29.1,0.0,0,0,0,33.45
1785345820.029,12.1,100.0,60.62,13.0,0.0,0,0,0,33.40
1785345821.029,12.1,100.0,60.62,26.0,0.0,0,0,0,33.40
1785345822.029,13.5,79.8,60.65,39.0,0.0,0,0,0,33.45
1785345823.029,12.5,100.0,60.67,22.0,0.0,0,0,0,33.46
1785345824.029,14.6,99.0,60.66,15.0,0.0,0,0,0,33.50
1785345825.029,14.1,100.0,60.68,13.0,0.0,0,0,0,33.45
1785345826.029,14.7,68.0,60.78,42.1,0.0,0,0,0,33.40
1785345827.029,13.4,100.0,60.76,39.0,0.0,0,0,0,33.40
1785345828.029,17.9,100.0,60.89,58.0,0.0,0,0,0,33.35
1785345829.029,21.2,99.0,60.93,44.0,0.0,0,0,0,33.41
1785345830.029,18.9,99.0,60.88,20.0,0.0,0,0,0,33.45
1785345831.030,13.8,89.0,60.88,18.0,0.0,0,0,0,33.45
1785345832.030,11.7,100.0,60.99,26.0,0.0,0,0,0,33.45
1785345833.030,12.0,99.0,61.01,48.0,0.0,0,0,0,33.45
1785345834.030,12.4,100.0,60.99,45.0,0.0,0,0,0,33.46
1785345835.030,12.8,99.0,61.01,32.0,0.0,0,0,0,33.45
1785345836.030,12.3,52.5,61.02,35.0,0.0,0,0,0,33.45
1785345837.030,14.9,95.0,61.06,43.0,0.0,0,0,0,33.46
1785345838.030,15.2,93.0,61.08,30.0,0.0,0,0,0,33.45
1785345839.030,11.7,100.0,61.11,41.0,0.0,0,0,0,33.50
1785345840.030,12.6,99.0,61.15,34.0,0.0,0,0,0,33.50
1785345841.030,12.1,86.3,61.14,37.0,0.0,0,0,0,33.40
1785345842.030,12.1,100.0,61.15,25.0,0.0,0,0,0,33.35
1785345843.031,12.5,100.0,61.12,41.8,0.0,0,0,0,33.41
1785345844.031,12.1,91.1,61.11,43.9,0.0,0,0,0,33.46
1785345845.031,12.7,100.0,61.09,32.2,0.0,0,0,0,33.46
1785345846.031,13.6,100.0,61.13,35.0,0.0,0,0,0,33.45
1785345847.031,13.6,100.0,61.11,31.0,0.0,0,0,0,33.45
1785345848.031,12.8,100.0,60.96,27.0,0.0,0,0,0,33.45
1785345849.031,5.2,100.0,60.96,29.0,0.0,0,0,0,33.41
1785345850.031,8.0,100.0,61.12,28.0,0.0,0,0,0,33.41
1785345851.031,12.1,100.0,61.10,27.0,0.0,0,0,0,33.46
1785345852.031,13.0,100.0,61.12,30.0,0.0,0,0,0,33.45
1785345853.032,12.2,99.0,61.12,29.0,0.0,0,0,0,33.45
1785345854.032,13.8,100.0,61.14,30.0,0.0,0,0,0,33.45
1785345855.032,12.0,100.0,61.14,29.0,0.0,0,0,0,33.45
1785345856.032,11.7,99.0,61.14,30.0,0.0,0,0,0,33.45
1785345857.032,12.3,100.0,61.18,31.0,0.0,0,0,0,33.40
1785345858.032,13.7,100.0,61.16,26.0,0.0,0,0,0,33.40
1785345859.032,12.0,100.0,61.16,29.0,0.0,0,0,0,33.40
1785345860.032,12.2,100.0,61.18,24.0,0.0,0,0,0,33.41
1785345861.032,10.9,100.0,61.19,24.0,0.0,0,0,0,33.45
1785345862.032,12.4,99.0,61.18,28.0,0.0,0,0,0,33.45
1785345863.032,12.6,100.0,61.22,31.0,0.0,0,0,0,33.40
1785345864.033,12.6,99.0,61.23,26.1,0.0,0,0,0,33.35
1785345865.033,11.2,59.6,61.23,22.9,0.0,0,0,0,33.40
1785345866.033,12.5,96.0,61.22,24.0,0.0,0,0,0,33.55
1785345867.033,11.7,87.0,61.21,45.0,0.0,0,0,0,33.55
1785345868.033,11.8,61.6,61.24,27.1,0.0,0,0,0,33.40
1785345869.033,13.2,100.0,61.21,46.7,0.0,0,0,0,33.35
1785345870.033,12.6,56.6,61.24,15.0,0.0,0,0,0,33.41
1785345871.033,7.3,73.7,61.10,14.0,0.0,0,0,0,33.45
1785345872.033,8.1,100.0,61.23,15.0,0.0,0,0,0,33.45
1785345873.034,12.2,100.0,61.24,17.0,0.0,0,0,0,33.40
1785345874.034,11.6,100.0,61.04,13.0,0.0,0,0,0,33.41
1785345875.034,19.3,81.8,61.11,15.0,0.0,0,0,0,33.40
1785345876.034,17.3,100.0,61.11,14.0,0.0,0,0,0,33.35
1785345877.034,16.5,100.0,61.08,14.0,0.0,0,0,0,33.40
1785345878.034,15.5,99.0,60.97,17.0,0.0,0,0,0,33.44
1785345879.034,18.2,100.0,60.96,11.0,0.0,0,0,0,33.50
1785345880.034,19.2,99.0,60.94,35.0,0.0,0,0,0,33.45
1785345881.034,21.5,100.0,60.96,37.9,0.0,0,0,0,33.41
