ts,cpu_total,cpu_max_core,ram_used_gb,cpu_server_pct,cpu_client_pct,gpu0_util,gpu0_memutil,gpu0_mem_mib,gpu0_power_w
1785433189.024,4.2,100.0,99.88,0.0,0.0,0,0,0,33.98
1785433190.024,9.2,58.4,99.96,13.1,0.0,0,0,0,34.04
1785433191.024,8.2,83.0,100.02,8.0,0.0,0,0,0,34.20
1785433192.024,10.8,61.4,100.04,12.0,0.0,0,0,0,34.15
1785433193.024,13.6,77.0,100.14,40.0,0.0,0,0,0,34.15
1785433194.024,12.9,100.0,100.14,189.9,0.0,0,0,0,34.18
1785433195.024,11.3,100.0,100.13,20.0,0.0,0,0,0,34.16
1785433196.024,11.0,100.0,100.20,26.0,0.0,0,0,0,34.26
1785433197.024,11.1,100.0,100.21,21.0,0.0,0,0,0,34.26
1785433198.025,10.9,100.0,100.19,24.0,0.0,0,0,0,34.08
1785433199.025,10.6,79.8,100.24,13.0,0.0,0,0,0,34.04
1785433200.025,8.2,75.0,100.27,32.0,0.0,0,0,0,34.10
1785433201.025,7.2,78.0,100.21,17.0,0.0,0,0,0,34.10
1785433202.025,10.0,67.3,100.22,17.1,0.0,0,0,0,34.10
1785433203.025,9.5,63.0,100.20,65.9,0.0,0,0,0,34.10
1785433204.025,10.7,77.8,100.20,11.0,0.0,0,0,0,34.19
1785433205.025,12.3,75.2,100.22,23.0,0.0,0,0,0,34.28
1785433206.025,11.1,67.0,100.21,17.0,0.0,0,0,0,34.23
1785433207.025,11.3,99.0,100.20,28.1,0.0,0,0,0,34.14
1785433208.025,12.9,99.0,100.20,21.0,0.0,0,0,0,34.13
1785433209.025,11.9,100.0,100.21,25.0,0.0,0,0,0,34.27
1785433210.026,10.6,100.0,100.22,17.1,0.0,0,0,0,34.28
1785433211.026,10.1,100.0,100.24,36.0,0.0,0,0,0,34.13
1785433212.026,10.8,100.0,100.25,24.0,0.0,0,0,0,34.13
1785433213.026,11.8,100.0,100.24,15.0,0.0,0,0,0,34.13
1785433214.026,12.1,100.0,100.28,38.9,0.0,0,0,0,34.07
1785433215.026,12.0,100.0,100.31,44.1,0.0,0,0,0,34.08
1785433216.026,10.6,100.0,100.32,43.0,0.0,0,0,0,34.08
1785433217.026,10.3,99.0,100.34,30.9,0.0,0,0,0,34.08
1785433218.026,12.2,98.0,100.40,11.0,0.0,0,0,0,34.14
1785433219.026,10.8,100.0,100.33,13.9,0.0,0,0,0,34.14
1785433220.026,10.5,100.0,100.39,34.1,0.0,0,0,0,34.09
1785433221.027,11.6,99.0,100.42,49.0,0.0,0,0,0,34.09
1785433222.027,11.4,100.0,100.42,25.0,0.0,0,0,0,34.09
1785433223.027,10.3,100.0,100.41,32.0,0.0,0,0,0,34.14
1785433224.027,9.5,65.7,100.44,21.1,0.0,0,0,0,34.29
1785433225.027,9.6,83.8,100.44,36.9,0.0,0,0,0,34.24
1785433226.027,9.0,64.7,100.43,17.0,0.0,0,0,0,34.09
1785433227.027,11.4,59.4,100.45,20.1,0.0,0,0,0,34.10
1785433228.027,9.2,61.4,100.45,24.0,0.0,0,0,0,34.10
1785433229.027,9.0,77.0,100.44,12.9,0.0,0,0,0,34.15
1785433230.027,8.7,70.7,100.46,20.1,0.0,0,0,0,34.15
1785433231.027,9.3,83.0,100.43,19.9,0.0,0,0,0,34.15
1785433232.028,8.8,60.2,100.43,14.0,0.0,0,0,0,34.15
1785433233.028,9.4,59.0,100.43,21.0,0.0,0,0,0,34.15
1785433234.028,9.9,96.0,100.44,23.9,0.0,0,0,0,34.15
1785433235.028,8.8,57.0,100.43,16.0,0.0,0,0,0,34.14
1785433236.028,8.9,62.4,100.45,12.0,0.0,0,0,0,34.14
1785433237.028,8.3,99.0,100.47,22.0,0.0,0,0,0,34.15
1785433238.028,8.3,69.0,100.45,18.0,0.0,0,0,0,34.19
1785433239.028,9.4,100.0,100.49,19.0,0.0,0,0,0,34.15
1785433240.028,8.6,57.8,100.50,19.0,0.0,0,0,0,34.10
1785433241.028,9.0,57.7,100.48,20.0,0.0,0,0,0,34.15
1785433242.028,9.1,68.7,100.51,21.0,0.0,0,0,0,34.15
1785433243.029,9.2,79.0,100.52,22.0,0.0,0,0,0,34.11
1785433244.029,9.4,58.8,100.51,22.0,0.0,0,0,0,34.10
1785433245.029,12.5,60.0,100.56,21.0,0.0,0,0,0,34.10
1785433246.029,11.4,100.0,100.53,17.1,0.0,0,0,0,34.05
1785433247.029,11.9,99.0,100.53,20.9,0.0,0,0,0,34.05
1785433248.029,13.3,100.0,100.55,15.1,0.0,0,0,0,34.12
1785433249.029,11.3,100.0,100.54,15.9,0.0,0,0,0,34.12
1785433250.029,10.8,100.0,100.58,23.0,0.0,0,0,0,33.98
1785433251.029,11.3,99.0,100.61,22.1,0.0,0,0,0,33.98
1785433252.029,9.8,71.7,100.69,18.9,0.0,0,0,0,34.10
1785433253.030,9.4,55.0,100.66,19.1,0.0,0,0,0,34.10
1785433254.030,11.7,71.3,100.60,12.0,0.0,0,0,0,34.09
1785433255.030,10.0,100.0,100.61,15.0,0.0,0,0,0,34.13
1785433256.030,10.0,100.0,100.56,21.1,0.0,0,0,0,34.12
1785433257.030,10.5,100.0,100.58,25.0,0.0,0,0,0,34.08
1785433258.030,10.1,100.0,100.60,15.9,0.0,0,0,0,34.03
