ts,cpu_total,cpu_max_core,ram_used_gb,cpu_server_pct,cpu_client_pct,gpu0_util,gpu0_memutil,gpu0_mem_mib,gpu0_power_w,gpu1_util,gpu1_memutil,gpu1_mem_mib,gpu1_power_w,gpu2_util,gpu2_memutil,gpu2_mem_mib,gpu2_power_w,gpu3_util,gpu3_memutil,gpu3_mem_mib,gpu3_power_w
1785514638.964,3.1,100.0,83.77,0.0,0.0,0,0,0,32.82,0,0,0,34.47,0,0,0,35.57,0,0,0,33.90
1785514639.964,5.7,100.0,83.83,22.0,0.0,0,0,0,32.87,0,0,0,34.52,0,0,0,35.58,0,0,0,33.85
1785514640.964,5.4,100.0,83.88,15.0,0.0,0,0,0,32.78,0,0,0,34.46,0,0,0,35.63,0,0,0,33.75
1785514641.964,9.0,100.0,84.05,24.0,0.0,0,0,0,32.78,0,0,0,34.51,0,0,0,35.62,0,0,0,33.80
1785514642.964,6.5,100.0,84.11,49.0,0.0,0,0,0,32.73,0,0,0,34.51,0,0,0,35.66,0,0,0,33.80
1785514643.964,11.8,100.0,84.13,625.1,0.0,0,0,0,32.68,0,0,0,34.51,0,0,0,35.71,0,0,0,33.75
1785514644.964,5.5,100.0,84.14,36.0,0.0,0,0,0,32.68,0,0,0,34.61,0,0,0,35.72,0,0,0,33.80
1785514645.965,5.3,100.0,84.16,37.0,0.0,0,0,0,32.68,0,0,0,34.56,0,0,0,35.62,0,0,0,33.80
1785514646.965,6.7,100.0,84.21,27.0,0.0,0,0,0,32.78,0,0,0,34.56,0,0,0,35.53,0,0,0,33.71
1785514647.965,5.7,100.0,84.23,30.0,0.0,0,0,0,32.82,0,0,0,34.61,0,0,0,35.57,0,0,0,33.70
1785514648.965,5.7,100.0,84.23,37.0,0.0,0,0,0,32.73,0,0,0,34.61,0,0,0,35.52,0,0,0,33.75
1785514649.965,5.2,100.0,84.23,20.0,0.0,0,0,0,32.73,0,0,0,34.47,0,0,0,35.52,0,0,0,33.76
1785514650.965,9.6,100.0,84.39,41.0,0.0,0,0,0,32.78,0,0,0,34.47,0,0,0,35.57,0,0,0,33.76
1785514651.965,5.6,100.0,84.43,59.0,0.0,0,0,0,32.78,0,0,0,34.47,0,0,0,35.57,0,0,0,33.79
1785514652.965,5.5,100.0,84.44,37.0,0.0,0,0,0,32.78,0,0,0,34.46,0,0,0,35.57,0,0,0,33.84
1785514653.965,5.6,100.0,84.45,34.0,0.0,0,0,0,32.76,0,0,0,34.50,0,0,0,35.51,0,0,0,33.80
1785514654.965,5.2,100.0,84.48,40.0,0.0,0,0,0,32.76,0,0,0,34.46,0,0,0,35.46,0,0,0,33.75
1785514655.966,8.0,100.0,84.82,28.0,0.0,0,0,0,32.87,0,0,0,34.46,0,0,0,35.51,0,0,0,33.75
1785514656.966,11.3,100.0,84.51,31.0,0.0,0,0,0,32.82,0,0,0,34.53,0,0,0,35.53,0,0,0,33.75
1785514657.966,6.4,100.0,83.27,18.0,0.0,0,0,0,32.73,0,0,0,34.53,0,0,0,35.53,0,0,0,33.81
1785514658.966,6.1,100.0,83.28,48.9,0.0,0,0,0,32.78,0,0,0,34.53,0,0,0,35.59,0,0,0,33.85
1785514659.966,7.9,100.0,83.30,24.0,0.0,0,0,0,32.78,0,0,0,34.53,0,0,0,35.53,0,0,0,33.86
1785514660.966,7.7,100.0,83.32,37.0,0.0,0,0,0,32.73,0,0,0,34.48,0,0,0,35.52,0,0,0,33.81
1785514661.966,7.6,100.0,83.63,39.8,0.0,0,0,0,32.73,0,0,0,34.43,0,0,0,35.58,0,0,0,33.71
1785514662.966,13.6,100.0,83.99,43.2,0.0,0,0,0,32.83,0,0,0,34.48,0,0,0,35.54,0,0,0,33.71
1785514663.966,12.8,100.0,84.05,62.9,0.0,0,0,0,32.83,0,0,0,34.48,0,0,0,35.53,0,0,0,33.76
1785514664.966,13.6,100.0,84.07,29.0,0.0,0,0,0,32.73,0,0,0,34.43,0,0,0,35.53,0,0,0,33.76
1785514665.967,12.6,100.0,84.08,24.0,0.0,0,0,0,32.68,0,0,0,34.48,0,0,0,35.54,0,0,0,33.76
