ts,cpu_total,cpu_max_core,ram_used_gb,cpu_server_pct,cpu_client_pct,gpu0_util,gpu0_memutil,gpu0_mem_mib,gpu0_power_w,gpu1_util,gpu1_memutil,gpu1_mem_mib,gpu1_power_w,gpu2_util,gpu2_memutil,gpu2_mem_mib,gpu2_power_w,gpu3_util,gpu3_memutil,gpu3_mem_mib,gpu3_power_w
1785713164.866,0.0,0.0,24.22,0.0,0.0,0,0,0,31.94,0,0,0,30.74,0,0,0,30.47,0,0,0,30.65
1785713165.866,1.8,100.0,24.24,15.0,0.0,0,0,0,31.99,0,0,0,30.80,0,0,0,30.41,0,0,0,30.61
1785713166.867,2.3,71.7,24.32,18.0,0.0,0,0,0,31.99,0,0,0,30.85,0,0,0,30.41,0,0,0,30.61
1785713167.867,2.3,100.0,24.33,12.0,0.0,0,0,0,31.94,0,0,0,30.84,0,0,0,30.47,0,0,0,30.65
1785713168.867,3.1,67.7,24.40,13.0,0.0,0,0,0,31.94,0,0,0,30.85,0,0,0,30.52,0,0,0,30.71
1785713169.867,3.1,100.0,24.37,20.0,0.0,0,0,0,31.99,0,0,0,30.90,0,0,0,30.48,0,0,0,30.77
1785713170.867,3.4,100.0,24.41,49.0,0.0,0,0,0,32.04,0,0,0,30.84,0,0,0,30.48,0,0,0,30.81
1785713171.867,4.3,100.0,24.42,216.7,0.0,0,0,0,32.04,0,0,0,30.84,0,0,0,30.52,0,0,0,30.75
1785713172.867,4.1,57.4,24.43,182.4,0.0,0,0,0,31.99,0,0,0,30.84,0,0,0,30.47,0,0,0,30.66
1785713173.867,1.9,100.0,24.44,23.0,0.0,0,0,0,31.94,0,0,0,30.94,0,0,0,30.47,0,0,0,30.61
1785713174.867,2.1,66.7,24.45,25.0,0.0,0,0,0,31.99,0,0,0,30.89,0,0,0,30.42,0,0,0,30.55
1785713175.868,1.9,100.0,24.45,17.0,0.0,0,0,0,32.04,0,0,0,30.79,0,0,0,30.42,0,0,0,30.56
1785713176.868,4.2,100.0,24.46,27.0,0.0,0,0,0,31.99,0,0,0,30.74,0,0,0,30.47,0,0,0,30.56
1785713177.868,1.9,100.0,24.45,16.0,0.0,0,0,0,31.99,0,0,0,30.79,0,0,0,30.42,0,0,0,30.61
1785713178.868,2.1,58.6,24.46,17.0,0.0,0,0,0,32.04,0,0,0,30.80,0,0,0,30.47,0,0,0,30.70
1785713179.868,1.9,100.0,24.46,24.0,0.0,0,0,0,31.99,0,0,0,30.85,0,0,0,30.52,0,0,0,30.70
1785713180.868,2.0,60.0,24.46,8.0,0.0,0,0,0,31.94,0,0,0,30.89,0,0,0,30.47,0,0,0,30.70
1785713181.868,2.1,100.0,24.46,11.0,0.0,0,0,0,32.00,0,0,0,30.84,0,0,0,30.47,0,0,0,30.70
1785713182.868,2.1,100.0,24.48,21.0,0.0,0,0,0,32.04,0,0,0,30.84,0,0,0,30.47,0,0,0,30.61
1785713183.868,1.8,100.0,24.47,17.0,0.0,0,0,0,32.04,0,0,0,30.84,0,0,0,30.42,0,0,0,30.61
1785713184.869,3.2,68.3,24.51,12.0,0.0,0,0,0,32.04,0,0,0,30.80,0,0,0,30.42,0,0,0,30.65
1785713185.869,2.5,100.0,24.49,14.0,0.0,0,0,0,31.99,0,0,0,30.80,0,0,0,30.47,0,0,0,30.60
1785713186.869,2.0,68.0,24.50,13.0,0.0,0,0,0,31.99,0,0,0,30.84,0,0,0,30.47,0,0,0,30.60
1785713187.869,1.9,100.0,24.50,12.0,0.0,0,0,0,31.98,0,0,0,30.79,0,0,0,30.47,0,0,0,30.60
1785713188.869,2.1,100.0,24.49,15.0,0.0,0,0,0,31.99,0,0,0,30.79,0,0,0,30.47,0,0,0,30.61
1785713189.869,2.5,100.0,24.51,11.0,0.0,0,0,0,32.04,0,0,0,30.84,0,0,0,30.47,0,0,0,30.61
1785713190.869,2.6,77.0,24.54,35.0,0.0,0,0,0,31.99,0,0,0,30.84,0,0,0,30.47,0,0,0,30.56
1785713191.869,2.7,100.0,24.53,53.0,0.0,0,0,0,31.94,0,0,0,30.85,0,0,0,30.47,0,0,0,30.66
